window_start,window_stop,window_center,window_size,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,share_01,share_07,share_11,share_13,share_17,share_19,share_23,share_29,target_lane_count,target_lane_share,leader_lane,leader_count,leader_margin
31201,34200,32700.5,3000,291,33,36,36,37,39,36,38,36,0.1134020618556701,0.12371134020618557,0.12371134020618557,0.12714776632302405,0.13402061855670103,0.12371134020618557,0.13058419243986255,0.12371134020618557,36,0.12371134020618557,17,39,1
31501,34500,33000.5,3000,296,36,33,37,39,39,35,40,37,0.12162162162162163,0.11148648648648649,0.125,0.13175675675675674,0.13175675675675674,0.11824324324324324,0.13513513513513514,0.125,37,0.125,23,40,1
31801,34800,33300.5,3000,296,36,32,36,38,37,37,42,38,0.12162162162162163,0.10810810810810811,0.12162162162162163,0.12837837837837837,0.125,0.125,0.14189189189189189,0.12837837837837837,36,0.12162162162162163,23,42,4
32101,35100,33600.5,3000,297,35,32,39,40,35,38,40,38,0.11784511784511785,0.10774410774410774,0.13131313131313133,0.13468013468013468,0.11784511784511785,0.12794612794612795,0.13468013468013468,0.12794612794612795,39,0.13131313131313133,13,40,0
32401,35400,33900.5,3000,293,35,34,41,36,34,36,39,38,0.11945392491467577,0.11604095563139932,0.13993174061433447,0.12286689419795221,0.11604095563139932,0.12286689419795221,0.13310580204778158,0.1296928327645051,41,0.13993174061433447,11,41,2
32701,35700,34200.5,3000,288,37,35,38,32,35,38,38,35,0.1284722222222222,0.12152777777777778,0.13194444444444445,0.1111111111111111,0.12152777777777778,0.13194444444444445,0.13194444444444445,0.12152777777777778,38,0.13194444444444445,11,38,0
33001,36000,34500.5,3000,286,37,33,39,32,35,37,38,35,0.12937062937062938,0.11538461538461539,0.13636363636363635,0.11188811188811189,0.12237762237762238,0.12937062937062938,0.13286713286713286,0.12237762237762238,39,0.13636363636363635,11,39,1
33301,36300,34800.5,3000,288,36,38,41,31,36,36,36,34,0.125,0.13194444444444445,0.1423611111111111,0.1076388888888889,0.125,0.125,0.125,0.11805555555555555,41,0.1423611111111111,11,41,3
33601,36600,35100.5,3000,283,36,35,39,35,36,35,35,32,0.127208480565371,0.12367491166077739,0.13780918727915195,0.12367491166077739,0.127208480565371,0.12367491166077739,0.12367491166077739,0.11307420494699646,39,0.13780918727915195,11,39,3
33901,36900,35400.5,3000,282,35,39,40,35,34,31,34,34,0.12411347517730496,0.13829787234042554,0.14184397163120568,0.12411347517730496,0.12056737588652482,0.1099290780141844,0.12056737588652482,0.12056737588652482,40,0.14184397163120568,11,40,1
