01,07,11,13,17,19,23,29,window_start,window_stop,gap_23_29,gap_29_01,reset_pressure,boundary_pressure,z_29,z_gap_29_01,z_reset_pressure,sparse_event,state
53,55,49,45,51,48,51,48,5040,5440,3,5,0.04950495049504951,0.030303030303030304,-0.47300561646354516,-0.0065644677853630845,-0.025014754576604317,0,balanced
53,54,49,46,52,47,50,49,5080,5480,1,4,0.0392156862745098,0.010101010101010102,-0.24053997407296634,-0.26593078007087634,-0.28966547126076714,0,balanced
52,54,53,46,50,47,49,49,5120,5520,0,3,0.0297029702970297,0.0,-0.24053997407296634,-0.5252970923563896,-0.5343425489498987,0,balanced
53,53,51,45,51,49,49,49,5160,5560,0,4,0.0392156862745098,0.0,-0.24053997407296634,-0.26593078007087634,-0.28966547126076714,0,balanced
52,52,50,42,50,53,48,53,5200,5600,5,1,0.009523809523809525,0.04950495049504951,0.689322595489349,-1.0440297169274162,-1.0533718251207795,0,balanced
55,51,49,40,50,52,49,54,5240,5640,5,1,0.009174311926605505,0.04854368932038835,0.9217882378799278,-1.0440297169274162,-1.0623612715570754,0,balanced
53,51,50,43,51,53,47,52,5280,5680,5,1,0.009523809523809525,0.050505050505050504,0.45685695309877017,-1.0440297169274162,-1.0533718251207795,0,balanced
52,50,50,44,51,54,49,50,5320,5720,1,2,0.0196078431372549,0.010101010101010102,-0.008074331682387506,-0.7846634046419029,-0.7939998558853036,0,balanced
52,49,49,45,52,57,48,48,5360,5760,0,4,0.04,0.0,-0.47300561646354516,-0.26593078007087634,-0.26949209587578565,0,balanced
50,46,50,47,51,56,50,50,5400,5800,0,0,0.0,0.0,-0.008074331682387506,-1.3033960292129294,-1.2983342405098401,0,balanced
52,48,48,45,51,55,52,49,5440,5840,3,3,0.0297029702970297,0.0297029702970297,-0.24053997407296634,-0.5252970923563896,-0.5343425489498987,0,balanced
51,50,48,44,51,54,54,48,5480,5880,6,3,0.030303030303030304,0.058823529411764705,-0.47300561646354516,-0.5252970923563896,-0.5189083733628291,0,23-leading
51,49,48,44,50,54,54,50,5520,5920,4,1,0.009900990099009901,0.038461538461538464,-0.008074331682387506,-1.0440297169274162,-1.043670343323193,0,balanced
