window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
99901,102900,101400.5,262,31,33,33,30,29,37,40,29
100201,103200,101700.5,262,31,34,34,31,31,36,39,26
100501,103500,102000.5,258,32,30,34,30,34,35,35,28
100801,103800,102300.5,256,32,31,34,31,33,33,35,27
101101,104100,102600.5,262,33,31,33,37,32,34,33,29
101401,104400,102900.5,259,32,29,33,36,33,34,33,29
101701,104700,103200.5,256,31,29,32,37,33,33,30,31
102001,105000,103500.5,258,35,29,32,39,30,31,29,33
102301,105300,103800.5,247,31,31,29,36,31,28,29,32
102601,105600,104100.5,249,31,31,30,35,31,29,29,33
102901,105900,104400.5,250,32,32,28,35,29,29,31,34
103201,106200,104700.5,251,29,33,29,35,29,29,33,34
103501,106500,105000.5,261,31,34,29,37,33,30,35,32
103801,106800,105300.5,267,32,35,33,40,34,30,31,32
104101,107100,105600.5,265,33,35,32,38,35,28,31,33
104401,107400,105900.5,259,32,37,33,34,32,27,31,33
104701,107700,106200.5,254,33,37,31,32,31,28,31,31
105001,108000,106500.5,250,33,35,30,31,36,27,32,26
105301,108300,106800.5,259,34,38,33,33,34,28,33,26
105601,108600,107100.5,255,35,36,32,35,34,28,32,23
105901,108900,107400.5,257,33,35,34,34,37,29,32,23
106201,109200,107700.5,263,38,34,33,32,39,29,32,26
106501,109500,108000.5,258,37,34,35,30,34,28,33,27
106801,109800,108300.5,253,34,35,34,26,33,30,35,26
107101,110100,108600.5,254,32,36,34,27,31,32,36,26
107401,110400,108900.5,250,35,31,34,28,31,32,34,25
107701,110700,109200.5,260,36,34,36,30,32,33,34,25
108001,111000,109500.5,262,34,35,37,29,28,34,34,31
108301,111300,109800.5,255,36,32,33,29,27,33,32,33
108601,111600,110100.5,256,33,34,36,28,26,31,33,35
108901,111900,110400.5,259,35,35,37,26,25,28,36,37
109201,112200,110700.5,253,31,34,38,27,24,30,34,35
109501,112500,111000.5,253,29,34,37,26,25,34,34,34
109801,112800,111300.5,252,31,32,36,29,26,30,33,35
110101,113100,111600.5,253,34,31,37,27,28,30,32,34
110401,113400,111900.5,265,33,34,37,29,32,31,34,35
110701,113700,112200.5,254,29,34,36,27,33,28,33,34
111001,114000,112500.5,253,28,33,34,26,34,31,36,31
111301,114300,112800.5,257,25,34,37,27,36,31,37,30
111601,114600,113100.5,252,26,33,34,28,35,30,35,31
111901,114900,113400.5,253,26,31,32,30,35,34,33,32
112201,115200,113700.5,252,27,33,32,32,34,31,33,30
112501,115500,114000.5,251,28,31,33,31,32,32,32,32
112801,115800,114300.5,257,27,31,35,32,33,31,36,32
113101,116100,114600.5,256,27,32,34,33,31,31,36,32
113401,116400,114900.5,251,28,32,35,31,28,31,34,32
113701,116700,115200.5,256,30,28,36,32,29,32,35,34
114001,117000,115500.5,256,32,29,36,35,28,30,32,34
114301,117300,115800.5,254,31,27,38,36,27,29,31,35
114601,117600,116100.5,259,34,28,38,34,26,31,34,34
114901,117900,116400.5,261,34,30,40,36,25,29,32,35
115201,118200,116700.5,261,36,29,38,34,27,30,31,36
115501,118500,117000.5,261,35,29,35,36,29,29,34,34
115801,118800,117300.5,256,34,29,34,34,27,31,30,37
116101,119100,117600.5,254,33,28,33,34,30,30,30,36
116401,119400,117900.5,252,32,27,31,35,31,30,31,35
116701,119700,118200.5,255,33,29,28,36,31,32,30,36
117001,120000,118500.5,256,33,29,31,36,29,32,32,34
