window_start,window_stop,window_center,window_size,prime_count,pre_boundary_count,post_boundary_count,boundary_imbalance,boundary_abs_imbalance,lane13_count,lane17_count,reflection_gap_13_17,reflection_abs_gap_13_17,reflection_ratio_13_17,boundary_pressure,reflection_pressure,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,leader_lane,leader_count
30001,33000,31500.5,3000,293,150,143,7,7,44,35,9,9,1.2571428571428571,0.023890784982935155,0.11392405063291139,31,37,38,44,35,35,34,39,13,44
30301,33300,31800.5,3000,289,147,142,5,5,42,34,8,8,1.2352941176470589,0.01730103806228374,0.10526315789473684,30,37,38,42,34,34,36,38,13,42
30601,33600,32100.5,3000,296,149,147,2,2,41,34,7,7,1.2058823529411764,0.006756756756756757,0.09333333333333334,32,37,39,41,34,35,39,39,13,41
30901,33900,32400.5,3000,298,144,154,-10,10,39,38,1,1,1.0263157894736843,0.03355704697986577,0.012987012987012988,32,34,39,39,38,38,40,38,23,40
31201,34200,32700.5,3000,291,142,149,-7,7,37,39,-2,2,0.9487179487179487,0.024054982817869417,0.02631578947368421,33,36,36,37,39,36,38,36,17,39
31501,34500,33000.5,3000,296,145,151,-6,6,39,39,0,0,1.0,0.02027027027027027,0.0,36,33,37,39,39,35,40,37,23,40
31801,34800,33300.5,3000,296,142,154,-12,12,38,37,1,1,1.027027027027027,0.04054054054054054,0.013333333333333334,36,32,36,38,37,37,42,38,23,42
32101,35100,33600.5,3000,297,146,151,-5,5,40,35,5,5,1.1428571428571428,0.016835016835016835,0.06666666666666667,35,32,39,40,35,38,40,38,13,40
32401,35400,33900.5,3000,293,146,147,-1,1,36,34,2,2,1.0588235294117647,0.0034129692832764505,0.02857142857142857,35,34,41,36,34,36,39,38,11,41
32701,35700,34200.5,3000,288,142,146,-4,4,32,35,-3,3,0.9142857142857143,0.013888888888888888,0.04477611940298507,37,35,38,32,35,38,38,35,11,38
33001,36000,34500.5,3000,286,141,145,-4,4,32,35,-3,3,0.9142857142857143,0.013986013986013986,0.04477611940298507,37,33,39,32,35,37,38,35,11,39
33301,36300,34800.5,3000,288,146,142,4,4,31,36,-5,5,0.8611111111111112,0.013888888888888888,0.07462686567164178,36,38,41,31,36,36,36,34,11,41
33601,36600,35100.5,3000,283,145,138,7,7,35,36,-1,1,0.9722222222222222,0.024734982332155476,0.014084507042253521,36,35,39,35,36,35,35,32,11,39
33901,36900,35400.5,3000,282,149,133,16,16,35,34,1,1,1.0294117647058822,0.05673758865248227,0.014492753623188406,35,39,40,35,34,31,34,34,11,40
34201,37200,35700.5,3000,288,148,140,8,8,37,34,3,3,1.088235294117647,0.027777777777777776,0.04225352112676056,35,38,38,37,34,33,35,38,07,38
34501,37500,36000.5,3000,283,143,140,3,3,38,34,4,4,1.1176470588235294,0.01060070671378092,0.05555555555555555,33,37,35,38,34,35,36,35,13,38
34801,37800,36300.5,3000,283,147,136,11,11,39,34,5,5,1.1470588235294117,0.038869257950530034,0.0684931506849315,33,40,35,39,34,34,32,36,07,40
35101,38100,36600.5,3000,281,150,131,19,19,39,35,4,4,1.1142857142857143,0.06761565836298933,0.05405405405405406,36,42,33,39,35,30,31,35,07,42
35401,38400,36900.5,3000,283,147,136,11,11,38,35,3,3,1.0857142857142856,0.038869257950530034,0.0410958904109589,34,43,32,38,35,34,34,33,07,43
35701,38700,37200.5,3000,282,144,138,6,6,38,33,5,5,1.1515151515151516,0.02127659574468085,0.07042253521126761,33,40,33,38,33,33,34,38,07,40
36001,39000,37500.5,3000,283,149,134,15,15,39,32,7,7,1.21875,0.053003533568904596,0.09859154929577464,34,43,33,39,32,32,36,34,07,43
36301,39300,37800.5,3000,284,145,139,6,6,41,32,9,9,1.28125,0.02112676056338028,0.1232876712328767,33,39,32,41,32,35,37,35,13,41
36601,39600,38100.5,3000,283,146,137,9,9,37,29,8,8,1.2758620689655173,0.03180212014134275,0.12121212121212122,34,39,36,37,29,34,38,36,07,39
36901,39900,38400.5,3000,283,144,139,5,5,38,28,10,10,1.3571428571428572,0.0176678445229682,0.15151515151515152,32,38,36,38,28,38,36,37,07,38
37201,40200,38700.5,3000,282,141,141,0,0,37,28,9,9,1.3214285714285714,0.0,0.13846153846153847,30,37,37,37,28,39,39,35,19,39
37501,40500,39000.5,3000,278,141,137,4,4,35,26,9,9,1.3461538461538463,0.014388489208633094,0.14754098360655737,30,38,38,35,26,37,39,35,23,39
37801,40800,39300.5,3000,272,132,140,-8,8,32,27,5,5,1.1851851851851851,0.029411764705882353,0.0847457627118644,30,35,35,32,27,39,40,34,23,40
38101,41100,39600.5,3000,277,133,144,-11,11,32,25,7,7,1.28,0.039711191335740074,0.12280701754385964,28,37,36,32,25,42,43,34,23,43
38401,41400,39900.5,3000,280,137,143,-6,6,36,26,10,10,1.3846153846153846,0.02142857142857143,0.16129032258064516,31,34,36,36,26,42,41,34,19,42
38701,41700,40200.5,3000,285,140,145,-5,5,37,28,9,9,1.3214285714285714,0.017543859649122806,0.13846153846153847,31,35,37,37,28,42,41,34,19,42
39001,42000,40500.5,3000,285,136,149,-13,13,36,30,6,6,1.2,0.0456140350877193,0.09090909090909091,31,33,36,36,30,42,38,39,19,42
39301,42300,40800.5,3000,286,138,148,-10,10,38,31,7,7,1.2258064516129032,0.03496503496503497,0.10144927536231885,31,32,37,38,31,40,37,40,19,40
39601,42600,41100.5,3000,290,139,151,-12,12,39,34,5,5,1.1470588235294117,0.041379310344827586,0.0684931506849315,31,36,33,39,34,42,36,39,19,42
39901,42900,41400.5,3000,289,139,150,-11,11,40,35,5,5,1.1428571428571428,0.03806228373702422,0.06666666666666667,31,35,33,40,35,40,38,37,13,40
40201,43200,41700.5,3000,287,139,148,-9,9,40,35,5,5,1.1428571428571428,0.0313588850174216,0.06666666666666667,32,36,31,40,35,37,38,38,13,40
40501,43500,42000.5,3000,288,141,147,-6,6,37,36,1,1,1.0277777777777777,0.020833333333333332,0.0136986301369863,35,35,34,37,36,36,37,38,29,38
40801,43800,42300.5,3000,293,149,144,5,5,40,36,4,4,1.1111111111111112,0.017064846416382253,0.05263157894736842,35,36,38,40,36,36,37,35,13,40
41101,44100,42600.5,3000,289,146,143,3,3,38,37,1,1,1.027027027027027,0.010380622837370242,0.013333333333333334,38,33,37,38,37,36,37,33,01,38
41401,44400,42900.5,3000,286,144,142,2,2,37,36,1,1,1.0277777777777777,0.006993006993006993,0.0136986301369863,38,32,37,37,36,35,35,36,01,38
41701,44700,43200.5,3000,284,144,140,4,4,38,37,1,1,1.027027027027027,0.014084507042253521,0.013333333333333334,36,33,37,38,37,33,35,35,13,38
42001,45000,43500.5,3000,283,143,140,3,3,38,37,1,1,1.027027027027027,0.01060070671378092,0.013333333333333334,35,33,37,38,37,33,35,35,13,38
42301,45300,43800.5,3000,277,139,138,1,1,33,36,-3,3,0.9166666666666666,0.0036101083032490976,0.043478260869565216,36,34,36,33,36,33,37,32,23,37
42601,45600,44100.5,3000,273,136,137,-1,1,34,37,-3,3,0.918918918918919,0.003663003663003663,0.04225352112676056,35,31,36,34,37,31,36,33,17,37
42901,45900,44400.5,3000,270,137,133,4,4,35,39,-4,4,0.8974358974358975,0.014814814814814815,0.05405405405405406,37,31,34,35,39,27,35,32,17,39
43201,46200,44700.5,3000,270,139,131,8,8,35,38,-3,3,0.9210526315789473,0.02962962962962963,0.0410958904109589,38,29,37,35,38,27,34,32,01,38
43501,46500,45000.5,3000,272,140,132,8,8,36,37,-1,1,0.972972972972973,0.029411764705882353,0.0136986301369863,38,31,35,36,37,31,30,34,01,38
43801,46800,45300.5,3000,271,138,133,5,5,35,35,0,0,1.0,0.01845018450184502,0.0,38,31,34,35,35,28,31,39,29,39
44101,47100,45600.5,3000,269,136,133,3,3,34,37,-3,3,0.918918918918919,0.011152416356877323,0.04225352112676056,36,32,34,34,37,26,29,41,29,41
44401,47400,45900.5,3000,269,133,136,-3,3,33,39,-6,6,0.8461538461538461,0.011152416356877323,0.08333333333333333,34,34,32,33,39,26,30,41,29,41
44701,47700,46200.5,3000,270,134,136,-2,2,33,37,-4,4,0.8918918918918919,0.007407407407407408,0.05714285714285714,36,33,32,33,37,30,28,41,29,41
45001,48000,46500.5,3000,271,137,134,3,3,31,37,-6,6,0.8378378378378378,0.01107011070110701,0.08823529411764706,37,36,33,31,37,30,29,38,29,38
45301,48300,46800.5,3000,271,138,133,5,5,33,36,-3,3,0.9166666666666666,0.01845018450184502,0.043478260869565216,37,36,32,33,36,31,25,41,29,41
45601,48600,47100.5,3000,272,138,134,4,4,31,35,-4,4,0.8857142857142857,0.014705882352941176,0.06060606060606061,37,36,34,31,35,30,29,40,29,40
45901,48900,47400.5,3000,275,139,136,3,3,30,33,-3,3,0.9090909090909091,0.01090909090909091,0.047619047619047616,37,36,36,30,33,36,27,40,29,40
46201,49200,47700.5,3000,277,138,139,-1,1,30,35,-5,5,0.8571428571428571,0.0036101083032490976,0.07692307692307693,36,38,34,30,35,35,27,42,29,42
46501,49500,48000.5,3000,280,139,141,-2,2,32,35,-3,3,0.9142857142857143,0.007142857142857143,0.04477611940298507,33,38,36,32,35,35,31,40,29,40
46801,49800,48300.5,3000,279,136,143,-7,7,32,39,-7,7,0.8205128205128205,0.025089605734767026,0.09859154929577464,34,38,32,32,39,37,30,37,17,39
47101,50100,48600.5,3000,285,142,143,-1,1,34,37,-3,3,0.918918918918919,0.0035087719298245615,0.04225352112676056,35,39,34,34,37,37,33,36,07,39
47401,50400,48900.5,3000,285,145,140,5,5,33,36,-3,3,0.9166666666666666,0.017543859649122806,0.043478260869565216,37,39,36,33,36,36,35,33,07,39
47701,50700,49200.5,3000,280,145,135,10,10,32,35,-3,3,0.9142857142857143,0.03571428571428571,0.04477611940298507,37,40,36,32,35,33,36,31,07,40
48001,51000,49500.5,3000,276,141,135,6,6,34,34,0,0,1.0,0.021739130434782608,0.0,35,37,35,34,34,33,36,32,07,37
48301,51300,49800.5,3000,278,142,136,6,6,35,37,-2,2,0.9459459459459459,0.02158273381294964,0.027777777777777776,37,36,34,35,37,33,37,29,01,37
48601,51600,50100.5,3000,282,145,137,8,8,33,36,-3,3,0.9166666666666666,0.028368794326241134,0.043478260869565216,38,38,36,33,36,33,36,32,01,38
48901,51900,50400.5,3000,281,140,141,-1,1,32,36,-4,4,0.8888888888888888,0.0035587188612099642,0.058823529411764705,38,38,32,32,36,31,39,35,23,39
49201,52200,50700.5,3000,280,144,136,8,8,32,36,-4,4,0.8888888888888888,0.02857142857142857,0.058823529411764705,39,39,34,32,36,33,37,30,01,39
49501,52500,51000.5,3000,273,140,133,7,7,31,34,-3,3,0.9117647058823529,0.02564102564102564,0.046153846153846156,39,38,32,31,34,31,37,31,01,39
49801,52800,51300.5,3000,275,142,133,9,9,29,33,-4,4,0.8787878787878788,0.03272727272727273,0.06451612903225806,38,37,38,29,33,30,39,31,23,39
50101,53100,51600.5,3000,274,138,136,2,2,28,34,-6,6,0.8235294117647058,0.0072992700729927005,0.0967741935483871,37,38,35,28,34,31,38,33,07,38
50401,53400,51900.5,3000,272,137,135,2,2,31,34,-3,3,0.9117647058823529,0.007352941176470588,0.046153846153846156,35,37,34,31,34,33,33,35,07,37
