window_start,previous_window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,target_lane_count,target_lane_share,leader_lane
42601,42301,4.242640687119285,0.999146352286609,0.0008536477133910259,36,0.13186813186813187,17
42901,42601,5.5677643628300215,0.9983596350064071,0.00164036499359288,34,0.1259259259259259,17
43201,42901,4.0,0.9991331260628116,0.0008668739371884282,37,0.13703703703703704,01
43501,43201,6.782329983125268,0.9975286959070482,0.0024713040929518204,35,0.12867647058823528,01
43801,43501,6.4031242374328485,0.9977961631614103,0.0022038368385897122,34,0.12546125461254612,29
44101,43801,4.69041575982343,0.9988181669287675,0.0011818330712325409,34,0.12639405204460966,29
44401,44101,4.242640687119285,0.9990218690528275,0.000978130947172473,32,0.11895910780669144,29
44701,44401,5.385164807134504,0.998428140712379,0.0015718592876210469,32,0.11851851851851852,29
45001,44701,5.0,0.998650718778247,0.0013492812217530403,33,0.12177121771217712,29
45301,45001,5.656854249492381,0.9982879657187135,0.001712034281286523,32,0.11808118081180811,29
45601,45301,5.196152422706632,0.9985553699522606,0.0014446300477394258,34,0.125,29
45901,45601,7.0,0.9974823318236651,0.0025176681763349196,36,0.13090909090909092,29
46201,45901,4.242640687119285,0.9991040525627423,0.0008959474372577381,34,0.12274368231046931,29
46501,46201,6.082762530298219,0.9981328263962812,0.001867173603718797,36,0.12857142857142856,29
46801,46501,6.855654600401044,0.9976148841797714,0.0023851158202286005,32,0.11469534050179211,17
47101,46801,4.898979485566356,0.998974170303193,0.001025829696806979,34,0.11929824561403508,07
47401,47101,4.898979485566356,0.998821333857185,0.0011786661428150325,36,0.12631578947368421,07
47701,47401,4.123105625617661,0.9992799295749546,0.0007200704250454049,36,0.12857142857142856,07
48001,47701,4.47213595499958,0.999104999617281,0.0008950003827189468,35,0.12681159420289856,07
48301,48001,5.0990195135927845,0.9986904130382912,0.0013095869617087974,34,0.1223021582733813,01
48601,48301,4.898979485566356,0.9988710001090216,0.001128999890978366,36,0.1276595744680851,01
48901,48601,6.244997998398398,0.9980437871568468,0.001956212843153171,32,0.11387900355871886,23
49201,48901,6.244997998398398,0.9980368385081849,0.0019631614918150797,34,0.12142857142857143,01
49501,49201,3.872983346207417,0.9995304580855399,0.0004695419144601365,32,0.11721611721611722,01
49801,49501,6.928203230275509,0.9975101758986538,0.0024898241013462385,38,0.13818181818181818,23
50101,49801,4.358898943540674,0.999015116347445,0.000984883652555002,35,0.12773722627737227,07
50401,50101,6.928203230275509,0.9974968454699491,0.0025031545300508995,34,0.125,07
50701,50401,3.3166247903554,0.9995823844403705,0.0004176155596294917,34,0.12274368231046931,07
51001,50701,3.3166247903554,0.9994421928372428,0.0005578071627572179,35,0.12589928057553956,07
51301,51001,3.872983346207417,0.9992749180284602,0.0007250819715397538,36,0.13090909090909092,07
51601,51301,5.0990195135927845,0.9986310961931613,0.0013689038068387394,35,0.12727272727272726,07
51901,51601,4.242640687119285,0.9991232510965647,0.0008767489034352538,37,0.13653136531365315,07
52201,51901,5.0990195135927845,0.9986077194459042,0.0013922805540957928,36,0.13382899628252787,07
52501,52201,5.477225575051661,0.9984852406630442,0.0015147593369557733,34,0.12454212454212454,01
52801,52501,2.8284271247461903,0.9995735153001384,0.00042648469986161786,34,0.12454212454212454,01
53101,52801,4.0,0.9991782152788051,0.0008217847211948737,36,0.13090909090909092,29
53401,53101,5.656854249492381,0.9983324489443525,0.0016675510556475315,33,0.12087912087912088,19
53701,53401,3.4641016151377544,0.9994041001304624,0.0005958998695375639,33,0.12,19
54001,53701,5.385164807134504,0.9988460551394305,0.0011539448605695224,33,0.11702127659574468,19
54301,54001,6.0,0.998428850478954,0.001571149521045978,35,0.12152777777777778,19
54601,54301,5.916079783099616,0.9987624485943016,0.0012375514056983672,30,0.10752688172043011,19
54901,54601,4.358898943540674,0.9991829854487712,0.0008170145512288451,32,0.11267605633802817,19
55201,54901,3.4641016151377544,0.9995100949194616,0.0004899050805383665,32,0.1111111111111111,19
55501,55201,6.0,0.9982937566771949,0.0017062433228051122,36,0.12413793103448276,23
55801,55501,5.196152422706632,0.9987463609331082,0.0012536390668917985,34,0.11846689895470383,07
56101,55801,4.0,0.9993120078152378,0.0006879921847622317,34,0.12014134275618374,19
56401,56101,4.358898943540674,0.9992250988826222,0.0007749011173777687,35,0.12152777777777778,23
56701,56401,3.3166247903554,0.9994736676811485,0.0005263323188514635,36,0.1254355400696864,23
57001,56701,6.0,0.9991071394099067,0.0008928605900933029,36,0.13090909090909092,07
