window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,boundary_imbalance_delta,reflection_gap_delta,boundary_pressure,reflection_pressure
40501,5.5677643628300215,0.9985058552667462,0.0014941447332538216,3.0,-4.0,0.020833333333333332,0.0136986301369863
40801,5.916079783099616,0.9984975726463456,0.0015024273536543564,11.0,3.0,0.017064846416382253,0.05263157894736842
41101,5.291502622129181,0.9987686886763069,0.0012313113236931406,-2.0,-3.0,0.010380622837370242,0.013333333333333334
41401,4.123105625617661,0.9992362745324201,0.0007637254675798566,-1.0,0.0,0.006993006993006993,0.0136986301369863
41701,3.4641016151377544,0.9994347577210246,0.0005652422789753642,2.0,0.0,0.014084507042253521,0.013333333333333334
42001,1.0,0.9999565631148707,4.343688512931099e-05,-1.0,0.0,0.01060070671378092,0.013333333333333334
42301,6.48074069840786,0.9980906102297177,0.0019093897702823215,-2.0,-4.0,0.0036101083032490976,0.043478260869565216
42601,4.242640687119285,0.999146352286609,0.0008536477133910259,-2.0,0.0,0.003663003663003663,0.04225352112676056
42901,5.5677643628300215,0.9983596350064071,0.00164036499359288,5.0,-1.0,0.014814814814814815,0.05405405405405406
43201,4.0,0.9991331260628116,0.0008668739371884282,4.0,1.0,0.02962962962962963,0.0410958904109589
43501,6.782329983125268,0.9975286959070482,0.0024713040929518204,0.0,2.0,0.029411764705882353,0.0136986301369863
43801,6.4031242374328485,0.9977961631614103,0.0022038368385897122,-3.0,1.0,0.01845018450184502,0.0
44101,4.69041575982343,0.9988181669287675,0.0011818330712325409,-2.0,-3.0,0.011152416356877323,0.04225352112676056
44401,4.242640687119285,0.9990218690528275,0.000978130947172473,-6.0,-3.0,0.011152416356877323,0.08333333333333333
44701,5.385164807134504,0.998428140712379,0.0015718592876210469,1.0,2.0,0.007407407407407408,0.05714285714285714
45001,5.0,0.998650718778247,0.0013492812217530403,5.0,-2.0,0.01107011070110701,0.08823529411764706
45301,5.656854249492381,0.9982879657187135,0.001712034281286523,2.0,3.0,0.01845018450184502,0.043478260869565216
45601,5.196152422706632,0.9985553699522606,0.0014446300477394258,-1.0,-1.0,0.014705882352941176,0.06060606060606061
45901,7.0,0.9974823318236651,0.0025176681763349196,-1.0,1.0,0.01090909090909091,0.047619047619047616
46201,4.242640687119285,0.9991040525627423,0.0008959474372577381,-4.0,-2.0,0.0036101083032490976,0.07692307692307693
46501,6.082762530298219,0.9981328263962812,0.001867173603718797,-1.0,2.0,0.007142857142857143,0.04477611940298507
46801,6.855654600401044,0.9976148841797714,0.0023851158202286005,-5.0,-4.0,0.025089605734767026,0.09859154929577464
47101,4.898979485566356,0.998974170303193,0.001025829696806979,6.0,4.0,0.0035087719298245615,0.04225352112676056
47401,4.898979485566356,0.998821333857185,0.0011786661428150325,6.0,0.0,0.017543859649122806,0.043478260869565216
47701,4.123105625617661,0.9992799295749546,0.0007200704250454049,5.0,0.0,0.03571428571428571,0.04477611940298507
48001,4.47213595499958,0.999104999617281,0.0008950003827189468,-4.0,3.0,0.021739130434782608,0.0
48301,5.0990195135927845,0.9986904130382912,0.0013095869617087974,0.0,-2.0,0.02158273381294964,0.027777777777777776
48601,4.898979485566356,0.9988710001090216,0.001128999890978366,2.0,-1.0,0.028368794326241134,0.043478260869565216
48901,6.244997998398398,0.9980437871568468,0.001956212843153171,-9.0,-1.0,0.0035587188612099642,0.058823529411764705
49201,6.244997998398398,0.9980368385081849,0.0019631614918150797,9.0,0.0,0.02857142857142857,0.058823529411764705
49501,3.872983346207417,0.9995304580855399,0.0004695419144601365,-1.0,1.0,0.02564102564102564,0.046153846153846156
49801,6.928203230275509,0.9975101758986538,0.0024898241013462385,2.0,-1.0,0.03272727272727273,0.06451612903225806
50101,4.358898943540674,0.999015116347445,0.000984883652555002,-7.0,-2.0,0.0072992700729927005,0.0967741935483871
50401,6.928203230275509,0.9974968454699491,0.0025031545300508995,0.0,3.0,0.007352941176470588,0.046153846153846156
50701,3.3166247903554,0.9995823844403705,0.0004176155596294917,-5.0,0.0,0.010830324909747292,0.04477611940298507
51001,3.3166247903554,0.9994421928372428,0.0005578071627572179,-1.0,-4.0,0.014388489208633094,0.1044776119402985
51301,3.872983346207417,0.9992749180284602,0.0007250819715397538,7.0,3.0,0.01090909090909091,0.0625
51601,5.0990195135927845,0.9986310961931613,0.0013689038068387394,0.0,1.0,0.01090909090909091,0.04477611940298507
51901,4.242640687119285,0.9991232510965647,0.0008767489034352538,4.0,-1.0,0.025830258302583026,0.0625
52201,5.0990195135927845,0.9986077194459042,0.0013922805540957928,-10.0,-2.0,0.011152416356877323,0.1
52501,5.477225575051661,0.9984852406630442,0.0015147593369557733,-4.0,-2.0,0.02564102564102564,0.125
52801,2.8284271247461903,0.9995735153001384,0.00042648469986161786,0.0,2.0,0.02564102564102564,0.09375
53101,4.0,0.9991782152788051,0.0008217847211948737,2.0,2.0,0.01818181818181818,0.06060606060606061
53401,5.656854249492381,0.9983324489443525,0.0016675510556475315,-6.0,-1.0,0.040293040293040296,0.07936507936507936
53701,3.4641016151377544,0.9994041001304624,0.0005958998695375639,-2.0,-1.0,0.04727272727272727,0.09375
54001,5.385164807134504,0.9988460551394305,0.0011539448605695224,5.0,4.0,0.028368794326241134,0.030303030303030304
