window_start,window_center,mode_1_score,mode_2_score,mode_3_score,mode_4_score
41401,42900.5,-1.7963002922764193,3.0645100565718355,-0.20425143973896664,1.5603159362510106
41701,43200.5,-1.2122551638885053,3.536618850112019,0.4897231024127346,-0.47640210570574376
42001,43500.5,-0.891130055890697,3.1185835971263405,0.42906145915286936,-0.4174243609074623
42301,43800.5,1.4551241497208092,0.9398154471160753,-1.3601321112745124,-2.498506902720741
42601,44100.5,2.7479616404050686,3.5914551360882694,-1.0357159041236377,-1.328217430186019
42901,44400.5,3.725235975534347,8.160325675409961,-0.1320456105221891,-3.88209136050178
43201,44700.5,3.8265754319251086,8.653950502600232,0.7636544802820037,-2.361959479150931
43501,45000.5,3.052724381165687,7.567950867807559,0.7812138609799507,1.0830692244968403
43801,45300.5,3.247626876307968,7.729454970663306,4.749789641853516,3.1568446616216934
44101,45600.5,3.7402880527320637,9.30912900061557,6.0849174011415785,4.373300743938824
44401,45900.5,3.62114726065823,8.65933023096654,4.717023069169117,3.1787488126804053
44701,46200.5,3.4393253697639015,7.5285862122928755,3.55998850515154,6.001731782627315
45001,46500.5,3.2377893099886323,5.953752866906761,3.2442011636113346,2.980324087960577
45301,46800.5,3.0945563779204077,7.041128512800872,5.154834130890898,6.5445568501117615
45601,47100.5,2.8757412855591764,4.82734393345698,5.270603559429993,4.59844233740232
45901,47400.5,2.0010930117595596,1.1792819018516407,3.5347281718039176,8.399351902181069
46201,47700.5,1.09904266196852,2.087731388302197,3.9341747252759696,8.271471765333931
46501,48000.5,0.03683059581784754,-0.6092103193009222,3.138717180868583,5.155649770121744
46801,48300.5,0.4129491151641653,1.7855413037314392,-1.999619487957204,3.5131193990292866
47101,48600.5,-1.5947962117225245,-0.2650924773503546,-0.6350997612631745,1.044880620049276
47401,48900.5,-1.3772227830786834,-0.8587436223280871,-0.571096523582737,-1.7659780054753937
47701,49200.5,0.4225118930103615,-1.0048978934295936,0.9004506665083273,-4.737900408017657
48001,49500.5,1.7392019219161412,-0.9000332179951219,0.717606748431144,-3.33146638115733
48301,49800.5,1.1197886348906285,1.7069434006847044,-2.419148918727584,-6.1105731273910955
48601,50100.5,-0.2974765086688328,0.8627509036347836,0.3277322242841255,-3.703878578832366
48901,50400.5,-0.07949182019961791,1.195922997469671,0.748235476079214,-3.9119598851707433
49201,50700.5,0.49082201493483824,0.5303447445466521,-0.940634156724379,-5.868046604216742
49501,51000.5,2.928507954187618,0.773966460861184,0.531212545413592,-5.3971218303405335
49801,51300.5,2.339519017367141,-1.2307410442567817,2.1033139999017965,-4.970882210765565
